Review Entry,Authors,Title,Journal,Year,Schisto,Snail_species,Trematode_Species,Scale,Continent,Country,Model Approach,Model,Occurrence/Abundance,Datasource_Occ,Predictors,Resolution,Datasource_Predictors,Collinearity,Testing,Evaluation,Purpose
1,"Tabo, Z., Breuer, L., Fabia, C., Samuel, G. & Albrecht, C. A",A machine learning approach for modeling the occurrence of the major intermediate hosts for schistosomiasis in East Africa,Scientific Reports,2024,Y,Biomphalaria alexandri; Biomphalaria angulosa; Biomphalaria choanomphala; Biomphalaria pfeifferi; Biomphalaria preston; Biomphalaria stanleyi; Biomphalaria sudanica; Bulinus africanus; Bulinus forskalii; Bulinus globosus; Bulinus truncatus,Schistosoma mansoni;Schistosoma haematobium,R,Africa,Uganda; Kenya; Tanzania,S,RF,O,literature;sampling;GBIF,CLIM;ENV;WATER;ANTH,30m;250m;1km;340km,"WorldClim; Google Earth Engine; World Soil Information Service, ArcGIS; Last of the Wild Project, NASA’s Socioeconomic Data and Applications Center",NO,NO,NO,EXPL
3,"van der Deure, T., Maes, T., Huyse, T. & Stensgaard, A.-S",Climate change could fuel urinary schistosomiasis transmission in African and Europe,Global Change Biology,2024,Y,Bulinus truncatus,Schistosoma haematobium;Schistosoma bovis,R,Africa;Europe,,ENS,GLM;GAM;ME,O,literature;sampling;GBIF,CLIM;ENV,2.5arcmin,WorldClim; Google Earth Engine,COR;PCA,RAN,BOYCE;TSS;AUC,PRED
4,"Stensgaard, A.-S., Booth, M., Nikulin, G. & McCreesh, N",Combining process-based and correlative models improves predictions of climate change effects on Schistosoma mansoni transmission in eastern Africa,Geospatial Health,2016,Y,Bulinus pfeifferi,Schistosoma mansoni,R,Africa,Kenya; Tanzania;Uganda,S,ME,O,sampling,ENV;WATER;ANTH,300m;1km,"GlobCover, ESA CCI, MODIS/Terra, ISRIC; GLCN/FAO; SEDAC",NO,RAN,AUC;R2,PROJ
5,"Vinarski, M. V. & Serbina, E. A",Distribution and quantitative characteristics of common species of pond snails of the subgenera Peregriana and Radix (Mollusca: Gastropoda: Lymnaeidae) in waterbodies of the south of Western Siberia,Inland Water Biology,2012,N,Radix auricularia; Ampullaceana balthica,Echinostoma revolutum;Fasciola gigantica;Fasciola hepatica;Trichobilharzia spp,R,Asia,Russia; Kazakhstan,S,Pesenko index of species-habitat association,A,sampling,WATER,NS,sampling; literature,NO,NO,NO,EXPL
6,"Zhu, H.-R., Liu, L., Zhou, X.-N. & Yang, G.-J","Ecological Model to Predict Potential Habitats of Oncomelania hupensis, the Intermediate Host of Schistosoma japonicum in the Mountainous Regions, China",PLoS Neglected Tropical Diseases,2015,Y,Oncomelania hupensis,Schistosoma japonicum,SN,Asia,China,S,Algebraic,O,sampling,ENV;WATER,30m;1km,NASA Moderate Resolution Imaging Spectroradiometer; Advanced Space borne Thermal Emission and Reflection Radiometer,NO,GEO,Consistency rate,PRED
7,"Pratumchart, K. et al","Ecological Niche Model based on Maximum Entropy for mapping distribution of Bithynia siamensis goniomphalos, first intermediate host snail updates of Opisthorchis viverrini in Thailand",Acta Tropica,2019,N,Bithynia siamensis,Opisthorchis viverrini,N,Asia,Thailand,S,ME,O,literature;sampling,CLIM;ENV,0.25km;1km,"WorldCilm; MODIS, Soilgrids,iscgm",,RAN,AUC,PRED
8,"Olkeba, B. K. et al",Environmental and biotic factors affecting freshwater snail intermediate hosts in the Ethiopian Rift Valley region,Parasites & Vectors,2020,M,Biomphalaria sudanica; Biomphalaria pfeifferi; Bulinus globosus; Bulinus forskalii; Bulinus truncatus; Lymnaea truncatula; Lymnaea natalensis; Physa; Ferrissia; Bernupia,Schistosoma mansoni;Schistosoma haematobium;Fasciola gigantica,SN,Africa,Ethiopia,S,LR,O;A,sampling,WATER;ANTH,NS,sampling,VIF,NO,NO,EXPL
9,"Min, F. et al","Environmental Factors Affecting Freshwater Snail Intermediate Hosts in Shenzhen and Adjacent Region, South China",Tropical Medicine and Infectious Disease,2022,M,Sinotaia quadrata;Sinotaia limnophila;Cipangopaludina chinensis;Physella acuta;Radix auricularia;Biomphalaria straminea;Semisulcospira cancellata;Semisulcospira libertina;Pomacea canaliculata,Angiostrongylus cantonensis;Echinostoma revolutum;Fasciola hepatica;Schistosoma mansoni;Clonorchis sinensis;Paragonimus westermani;Gnathostoma spinigerum,SN,Asia,China,S,CART,O,sampling,CLIM;ENV;WATER;ANTH,NS,sampling;,NO,RAN,CCI;Kappa,EXPL
10,"Seuffert, M. E. et al",Established but not spreading: the tropical invasive snail Melanoides tuberculata in a geothermally warmed channel in temperate Southern Pampas,Anais da Academia Brasileira de Ciencias,2023,N,Melanoides tuberculata,Paragonimus westermani,SN,South America,Argentina,S,ME,O,literature,CLIM,1km,WorldClim,NO,NO,NO,PRED
11,"Ribas, L. G., Tramonte, R. P., Mantovano, T., Petsch, D. K. & Mormul, R. P",Forecasting the potential distribution and niche of two similar gastropod species in South America: the intermediate host of schistosomiasis Biomphalaria glabrata and the invasive Melanoides tuberculata,Hydrobiologia,2024,M,Biomphalaria glabrata; Melanoides tuberculata,Schistosoma mansoni; Paragonimus westermani,R,South America,Argentina; Bolivia; Brazil; Chile; Colombia; Ecuador; Guyana; Paraguay; Peru; Suriname; Uruguay; Venezuela; Nicaragua; Costa Rica; Panama,ENS,GLM;GAM;ME;Gower distance;ENV;SVM,O,GBIF,CLIM,NS,WorldClim,PCA,RAN,AUC;TSS,PROJ
12,"Coelho, P. R. S. et al","Identification of Risk Areas for Intestinal Schistosomiasis, Based on Malacological and Environmental Data and on Reported Human Cases",Frontiers in Medicine,2021,Y,Biomphalaria glabrata; Biomphalaria tenagophila; Biomphalaria straminea; Biomphalaria cousini; Biomphalaria kuhniana,Schistosoma mansoni,SN,South America,Brazil,S,ME,O,sampling,CLIM;ENV,1km;NS,"Google Earth Engine; Projeto MapBiomas, National Institute for Space Research",COR,NO,AUC,PRED
13,"dos Santos, E. R. & Garcia, J. S",Intermediate and definitive hosts of wild Schistosoma mansoni: ecological niche modeling of hosts in low endemicity areas,Revisita do Instituto de Medicina Tropical de Sao Paolo,2024,Y,Biomphalaria glabrata; Biomphalaria straminea; Biomphalaria tenagophila,Schistosoma mansoni,N,South America,Brazil,S,ME,O,GBIF;Species Link,ENV,NS,WorldClim,NO,NO,AUC,PRED
14,"Stensgaard, A.-S. et al",Large-scale determinants of intestinal schistosomiasis and intermediate host snail distribution across Africa: does climate matter?,Acta Tropica,2013,Y,Biomphalaria pfeifferi; Biomphalaria sudanica; Biomphalaria choanomphala; Biomphaleria camerunensis; Biomphalaria alexandrina,Schistosoma mansoni,R,Africa,Algeria; Angola; Benin; Botswana; Burkina Faso; Burundi; Cabo Verde; Cameroon; Central African Republic; Chad; Comoros; Congo; Democratic Republic of the Congo; Côte d'Ivoire; Djibouti; Egypt; Equatorial Guinea; Eritrea; Eswatini; Ethiopia; Gabon; Gambia; Ghana; Guinea; Guinea-Bissau; Kenya; Lesotho; Liberia; Libya; Malawi; Mali; Mauritania; Mauritius; Morocco; Mozambique; Namibia; Niger; Nigeria; Republic of the Congo; Rwanda; São Tomé and Príncipe; Senegal; Seychelles; Sierra Leone; Somalia; South Africa; South Sudan; Sudan; Tanzania; Togo; Tunisia; Uganda; Zambia; Zimbabwe.,S,ME,O,GBIF;sampling,CLIM;ENV,1km;8 km;50 km;500 km,"WorldClim; foa, ecotope, isric, landcover.org",COR,RAN,AUC,PROJ
15,"Fan, J., Yuan, X., Wang, M. & Zhu, G",Mapping the potential distribution of the schistosomiasis intermediate host Biomphalaria straminea in China,Geospatial Health,2018,Y,Biomphalaria straminea,Schistosoma mansoni,SN,Asia,China,ENS,GAM;GBM;GLM;RF;ME,O,literature;GBIF,CLIM,2.5arcmin,WorldClim,COR;PCA,RAN,pROC;OR,PRED
16,"Walz, Y. et al",Modeling and Validation of Environmental Suitability for Schistosomiasis Transmission Using Remote Sensing,PLoS Neglected Tropical Diseases,2015,Y,Bulinus truncatus; Bulinus globosus; Bulinus senegalensis; Bulinus forskalii; Biomphalaria pfeifferi,Schistosoma mansoni;Schistosoma haematobium,SN,Africa,Burkina Faso; Côte d’Ivoire,S,MECH,O,sampling,ENV;WATER,6.5m;30m,"United States Geological Survey (USGS) Global Visualization Viewer; RapidEye, Landsat Thematic Mapper",NO,IND,R2; Spearman rank correlation coefficient,PRED
17,"Pedersen, U. B. et al",Modelling climate change impact on the spatial distribution of fresh water snails hosting trematodes in Zimbabwe,Parasites & Vectors,2014,M,Bulinus globosus; Biomphalaria pfeifferi; Lymnaea natalensis,Schistosoma haematobium,N,Africa,Zimbabwe,S,ME,O,sampling,CLIM,10km,DIVA GIS,COR,RAN,AUC,PROJ
18,"Barbosa, V. S., de Paula Souza e Guimaraes, R. J., Loyo, R. M. & Barbosa, C. S","Modelling of the distribution of Biomphalaria glabrata and Biophalaria straminea in the metropolitan region of Recife, Pernambuco, Brazil",Geospatial Health,2016,Y,Biomphalaria glabrata; Biomphalaria straminea,Schistosoma mansoni,SN,South America,Brazil,S,ME,O,NS,CLIM,1km,WorldClim,NO,RAN,AUC,PRED
19,"Pederson, U.B., et al",Modelling spatial distribution of snails transmitting parasitic worms with importance to human and animal health and analysis of distributional changes in relation to climate,Geospatial Health,2014,M,Bulinus globosus; Biomphalaria pfeifferi; Lymnaea natalensis,Schistosoma haematobium;Schistosoma mansoni;Fasciola gigantica,N,Africa,Zimbabwe,S,ME,NS,sampling,CLIM;ENV,0.09km;8km;10km,Climate Research Unit; ISRIC-WISE harmonized global soil profile dataset; ShuttleRadar Topography Mission (SRTM) Digital ElevationDatabase version 4.1,NO,Other,AUC;Sensititvy;Specificity,PRED
20,"Jovem-Azevedo, D., et al",Modelling the abundance of a non-native mollusk in tropical semi-arid reservoirs,Hydrobiologia,2022,N,Melanoides tuberculata,Paragonimus westermani,SN,South America,Brazil,S,GBM,A,sampling,CLIM;ENV,NS,Sampling,NO,NO,NO,EXPL
21,"Ayob, N. et al",Modelling the historical distribution of schistosomiasis-transmitting snails in South Africa using ecological niche models,PLoS One,2023,Y,Biomphalaria pfeifferi; Bulinus globosus; Bulinus africanus,Schistosoma mansoni; Schistosoma haematobium,N,Africa,South Africa,MIX,ME;GLM;RF,O,GovSurvey,CLIM;ENV,0.5degree,Copernicus Climate Change Service,NO,RAN,AUC;ROC;TSS,PRED
22,"Sanches Palasio, R. G., de Azevedo, T. S., Tuan, R. & Chiaravalloti-Neto","Modelling the present and future distribution of Biomphalaria species along the watershed of the Middle Paranapanema region, Sao Paulo, Brazil",Acta Tropica,2021,Y,Biomphalaria glabrata; Biomphalaria occidentalis; Biomphalaria straminea; Biomphalaria tenagophila; Biomphalaria peregrina,Schistosoma mansoni,SN,South America,Brazil,S,ME,O,literature,CLIM;ENV,30arcsec,WorldClim; HydroSHEDS; AMBDATA,VIF,RAN,AUC;ROC,PROJ
23,"Manyangadze, T., Chimbari, M. J., Gebreslasie, M., Ceccato, P. & Mukaratirwa, S","Modelling the spatial and seasonal distribution of suitable habitats of schistosomiasis intermediate host snails using Maxent in Ndumo area, KwaZulu-Natal Province, South Africa",Parasites & Vectors,2016,Y,Bulinus globosus; Biomphalaria pfeifferi,Schistosoma mansoni;Schistosoma haematobium,SN,Africa,South Africa,S,ME,O,sampling,CLIM;ENV,250m;1km;5km,"UCSB University of California Santa Barbara; USGS United States Geological Survey; NASA National Aeronautics and Space Administration; ISRIC-WISE International Soil Reference and Information Centre - World Inventory of Soil
Emission Potentials",NO,GEO,AUC;OR,PRED
24,"Oso, O. G., Sunday, J. O. & Odaibo, A. B",Models for predicting bulinids species habitats in southwestern Nigeria,Parasite Epidemiology and Control,2022,Y,Bulinus globosus; Bulinus jousseaumei; Bulinus camerunensis; Bulinus senegalensis; Bulinus forskalii,Schistosoma haematobium,SN,Africa,Nigeria,S,Explanatory regression model,O,sampling,CLIM;ENV,0.7 m;NS,European Meteorology Research Program; NASA,NO,NO,NO,PRED
25,"Wang, Z. et al","Predicating risk habitats of Oncomelania hupensis, the intermediate host of schistosoma japonicum under multiple environmental drivers",Ecological Indicators,2024,Y,Oncomelania hupensis,Schistosoma japonicum,SN,Asia,China,MIX; ENS,GLM;GAM;ME;MARS;RF;Generalized Boosting Model;Classification Tree Analysis;Flexible Tree Analysis;ANN;Surface Range Envelop,O,sampling,CLIM;ENV;ANTH,100m,Geospatial data cloud; WorldPop dataset; Chinese Meteorological Spatial Interpolation Dataset,NO,RAN,AUC;TSS,PRED
26,"Li, Y. et al",Predicting Climate Change Impact on the Habitat Suitability of the Schistosoma Intermediate Host Oncomelania hupensis in the Yangtze River Economic Belt of China,Biology (Basel),2024,Y,Oncomelania hupensis,Schistosoma japonicum,SN,Asia,China,S,ME,O,literature,CLIM;ENV,2.5arcmin,WorldClim; Beijing Climate Center Climate System Model,COR,RAN,AUC;TSS,PROJ
27,"Mahmoud, M. M. et al","Predicting the habitat suitability of Schistosoma intermediate host Bulinus truncatus, its predatory aquatic insect Odonata nymph, and the associated aquatic plant Ceratophyllum demersum using MaxEnt",Parasitology Research,2022,Y,Bulinus truncatus,Schistosoma haematobium,N,Africa,Egypt,S,ME,O,sampling,CLIM;ENV,1km,WorldClim; Shuttle Radar Topography Mission,NO,RAN,AUC,PRED
28,"Recopuerto-Medina, L. M. et al","Predicting the potential nationwide distribution of the snail vector, Oncomelania hupensis quadrasi, in the Philippines using the MaxEnt algorithm",Parasitology Research,2024,Y,Oncomelania hupensis,Schistosoma japonicum,N,Asia,Philippines,S,ME,O,literature,CLIM;ENV,NS,WorldClim,NO,RAN,AUC,PRED
29,"Xu, N. et al",Prediction of Oncomelania hupensis distribution in association with climate change using machine learning models,Parasites & Vectors,2023,Y,Oncomelania hupensis,Schistosoma japonicum,SN,Asia,China,MIX,ME;RF;GAM;CART;XGB;SVM;ANN;k-Nearest Neighbors,O,GovSurvey,CLIM;ENV,1km,"Chinese Academy of Sciences, Resource and Environmental Sciences and Data Center; WorldClim; Beijing Climate Center-Climate System Model version 2-Middle Resolution",COR,RAN,AUC,PROJ
30,"Yang, Y. et al","Prediction of the potential global distribution for Biomphalaria straminea, an intermediate host for Schistosoma mansoni",PLoS Neglected Tropical Diseases,2018,Y,Biomphalaria straminea,Schistosoma mansoni,G,Global,Global,S,ME,O,literature,CLIM;ENV;ANTH,2.5arcmin,"WorldClim; Wildlife Conservation Society (WCS), & Center for International Earth Science Information Network (CIESIN)",COR,RAN,AUC,PRED
31,"Zhu, G., Fan, J. & Peterson, A. T",Schistosoma japonicum transmission risk maps at present and under climate change in mainland China,PLoS Neglected Tropical Diseases,2017,Y,Oncomelania hupensis,Schistosoma japonicum,SN,Asia,China,S;ENS,ME;GAM;RF;GLM;GBM;Genetic Algorithms,O,GovSurvey,CLIM;ENV,NS,WorldClim,COR,RAN,AUC,PROJ
32,"Kagabo, J., Tabo, Z., Kalinda, C., Nyandwi, E. & Rujeni, N",Schistosomiasis transmission: A machine learning analysis reveals the importance of agrochemicals on snail abundance in Rwanda,PLoS Neglected Tropical Diseases,2024,Y,Bulinus spp; Biomphalaria spp,Schistosoma mansoni;Schistosoma haematobium,N,Africa,Rwanda,MIX,RF;k-Nearest Neighbors;GBM;Decision Tree;MARS,O,sampling,WATER;ENV,NS,Sampling,COR,RAN,AUC;TSS,EXPL
33,"Shi, Q. et al",Spatial and Temporal Distribution Pattern of Oncomelania hupensis Caused by Multiple Environmental Factors Using Ecological Niche Models,Frontiers in Environmental Science,2022,Y,Oncomelania hupensis,Schistosoma japonicum,SN,Asia,China,MIX,XGB;RF;GBM;SVM;C5.0,O,Other survey: Yunnan Institute of Endemic Disease Control and Prevention in 2016,CLIM;ENV;ANTH,500m,"Resource and Environment Science and Data Center, Chinese Academy of Sciences; WorldPop Data Portal",NO,RAN,AUC,PRED
34,"Guimaraes, R. J. P. S. et al","Spatial distribution of Biomphalaria mollusks at Sao Francisco River Basin, Minas Gerais, Brazil, using geostatistical procedures",Acta Tropica,2009,Y,Biomphalaria straminea; Biomphalaria glabrata; Biomphalaria tenagophilia,Schistosoma mansoni,SN,South America,Brazil,S,Indicator kriging,NS,NS,NS,NS,NS,NO,Other,NO,EXPL
35,"Scholte, R. G. C., Carvalho, O. S., Malone, J. B., Utzinger, J. & Vounatsou, P","Spatial distribution of Biomphalaria spp., the intermediate host snails of Schistosoma mansoni, in Brazil",Geospatial Health,2012,Y,Biomphalaria glabrata; Biomphalaria straminea; Biomphalaria tenagophila,Schistosoma mansoni,N,South America,Brazil,S,ME,O,literature;survey,CLIM;ENV,1km,Worldclim;SRTM;MODIS;Moderate Resolution Imaging,NO,RAN,AUC,PRED
36,"Nwoko, O. E., Manyangadze, T. & Chimbari, M. J","Spatial distribution, abundance, and infection rates of human schistosome-transmitting snails and related physicochemical parameters in KwaZulu-Natal (KZN) province, South Africa",Heliyon,2023,Y,Biomphalaria pfeifferi; Bulinus globosus,Schistosoma mansoni;Schistosoma haematobium,SN,Africa,South Africa,S,GLM,A,sampling,WATER;CLIM;ENV,NS,Climate Engine;International Research Institute for Climate and Society,VIF,NO,AIC,EXPL
37,"de Souza Gomes, E. C. et al",Spatial risk analysis on occurrences and dispersal of Biomphalaria straminea in and endemic area for schistosomiasis,Journal of Vector Borne Diseases,2018,Y,Biomphalaria straminea,Schistosoma mansoni,SN,South America,Brazil,MIX,ME;Kringing,O,sampling,ANTH;ENV,NS,Sampling,NO,NO,NO,PRED
38,"Oso, O. G., Sunday, J. O. & Odaibo, A. B","Temporal modelling of Lymnaea natalensis (Krauss, 1848) in tropical aquatic habitats",Onderstepoort Journal of Verterinary Research,2023,N,Lymnaea natalensis,Fasciola gigantica,SN,Africa,Nigeria,S,LR,O,sampling,CLIM;ENV,30m,NASA; European Meteorology Research Program,NO,NO,NO,PRED
39,"Standley, C. J. et al",The distribution of Biomphalaria (Gastropoda: Planorbidae) in Lake Victoria with ecological and spatial predictions using Bayesian modelling,Hydrobiologia,2012,Y,Biomphalaria choanomphala; Biomphalaria sudanica,Schistosoma mansoni,R,Africa,Uganda;Tanzania;Kenya,MIX,LR;GLM;Bayesian Inference;Kriging,A,sampling,CLIM;ENV;ANTH;WATER,8km,Sampling; USGS African Data Dessemination Service,NO,NO,NO,PRED
40,"Rumi, A., Eugenio Vogler, R. & Anibal Beltramino, A",The South-American distribution and southernmost record of Biomphalaria peregrina-a potential intermediate host of schistosomiasis,PeerJ,2017,Y,Biomphalaria peregrina,Schistosoma mansoni,R,South America,"Argentina, Bolivia, Brazil, Chile, Colombia, Ecuador, Guyana, Paraguay, Peru, Suriname, Uruguay, Venezuela",S,ME,O,"literature;museum;WMSDB, Worldwide Mollusc Species Data Base;GenBank",CLIM;ENV,30arcsec,Worldclim;HydroSHEDS; USGS,NO,RAN,AUC,PRED
41,"Moser, W. et al","The spatial and seasonal distribution of Bulinus truncatus, Bulinus forskalii and Biomphalaria pfeifferi, the intermediate host snails of schistosomiasis, in N’Djamena, Chad",Geospatial Health,2014,Y,Biomphalaria truncatus; Bulinus forskalii; Biomphalaria pfeifferi,Schistosoma mansoni;Schistosoma haematobium,SN,Africa,Chad,MIX,Kringing;LR,A,sampling,WATER;ENV;ANTH,15m;NS,Sampling;Landsat,NO,RES,AIC,PRED
